run	success	duration	cost	ftissue_dap	Kp_dap	LI__DAPIM_Vmax	LI__DAP2D3G_Vmax	LI__D3GEX_Vmax	KI__DAPIM_Vmax	KI__DAP2D3G_Vmax	KI__D3GIM_Vmax	KI__DAPEX_k	KI__D3GEX_k	GU__Ka_dis_dap	GU__DAPABS_k	message	x	x0
15	True	395.2463059425354	766.6272083315558	0.01000005990056799	31.042533719411505	237.86295115687787	0.0010064303503336748	0.0010000000024130609	1.161773299056885	0.272223575790822	19.79354740487244	0.01720563003558135	0.3390785144688731	1.0200604498935186	0.04858558323976285	`xtol` termination condition is satisfied.	"[1.00000599e-02 3.10425337e+01 2.37862951e+02 1.00643035e-03
 1.00000000e-03 1.16177330e+00 2.72223576e-01 1.97935474e+01
 1.72056300e-02 3.39078514e-01 1.02006045e+00 4.85855832e-02]"	"[1.07203735e+00 1.49613078e+00 2.75573551e+02 1.87808472e-02
 1.94522930e-03 2.68085797e+02 2.67230305e-02 2.27411389e-02
 2.25411039e-01 2.49800761e+00 2.25114196e-03 1.69208100e-03]"
2	True	398.9999248981476	767.0501221575358	0.010000859720034385	30.6905026229026	0.4550349708855613	0.0010129937509290718	0.0010045128088864586	0.01941689067144818	5.6043273211593805	0.33438694100569333	0.01701465732238902	0.3392338659135661	3.0043354027275804	0.01631414629638987	`xtol` termination condition is satisfied.	"[1.00008597e-02 3.06905026e+01 4.55034971e-01 1.01299375e-03
 1.00451281e-03 1.94168907e-02 5.60432732e+00 3.34386941e-01
 1.70146573e-02 3.39233866e-01 3.00433540e+00 1.63141463e-02]"	"[2.14159093e-01 1.48290573e+01 2.11262303e-01 1.51154989e-02
 7.88380722e+02 4.84445104e+01 3.49844893e+01 7.84958899e+02
 5.69325034e-01 1.04469177e-01 7.82245003e-01 1.47533259e-01]"
5	True	305.73277497291565	767.1005475929117	0.010000111868577443	30.491705773123503	5981.841832006677	0.0010020348574075928	0.0010134897798527766	0.01851502154864699	30.426466087966215	0.5882678824157329	0.016945561635388497	0.3378938829754368	0.9449767166217918	0.05284613675935102	`xtol` termination condition is satisfied.	"[1.00001119e-02 3.04917058e+01 5.98184183e+03 1.00203486e-03
 1.01348978e-03 1.85150215e-02 3.04264661e+01 5.88267882e-01
 1.69455616e-02 3.37893883e-01 9.44976717e-01 5.28461368e-02]"	"[8.62762034e-02 1.14279153e+00 4.76849077e+03 1.73115509e-02
 8.77208532e-01 4.98335797e+03 1.62218391e+00 6.73968724e-01
 1.10082570e+00 2.00583009e-01 2.27996768e-03 9.10455541e-03]"
10	True	402.9701941013336	767.2786961217803	0.010009033726826209	30.788647037044164	0.0922433037789924	0.0010037664553452577	0.0010000528420013154	1.678095223555283	0.26912473469908993	0.11473535294984301	0.017076037787751415	0.3380520077873666	0.9947379960426529	0.05044858400032915	`xtol` termination condition is satisfied.	"[1.00090337e-02 3.07886470e+01 9.22433038e-02 1.00376646e-03
 1.00005284e-03 1.67809522e+00 2.69124735e-01 1.14735353e-01
 1.70760378e-02 3.38052008e-01 9.94737996e-01 5.04485840e-02]"	"[2.23287028e+00 3.21516258e+01 1.91023813e-01 2.60354297e-02
 1.05223096e-03 4.02853583e+00 5.81497514e+01 2.93522851e+02
 1.09270008e-02 1.01507672e+00 3.28915860e-01 2.24049240e+00]"
0	True	302.6024763584137	767.667284948301	0.010000006157134894	30.741180453515284	9349.837660144034	0.0010009585349326205	0.001000064888975774	0.04015904982664153	0.4901116663139626	389.9865516930978	0.016987631370307826	0.3372357933219252	0.9664881772998385	0.05148166054061441	`xtol` termination condition is satisfied.	"[1.00000062e-02 3.07411805e+01 9.34983766e+03 1.00095853e-03
 1.00006489e-03 4.01590498e-02 4.90111666e-01 3.89986552e+02
 1.69876314e-02 3.37235793e-01 9.66488177e-01 5.14816605e-02]"	"[8.27207846e-01 1.43491167e+00 2.10879449e+03 2.32415797e+00
 1.49354898e+01 3.41721851e+01 5.39797225e-03 1.31430905e-03
 1.19261394e-03 1.36351975e-01 1.45014822e-03 1.29495100e-04]"
13	True	477.39919543266296	775.5258552094009	0.0100000843201001	30.366703195962536	0.9993134123135536	0.01724475345694778	5.768073548739037	6.079222923903746	0.1538756342956524	539.444509920623	0.016083319721285152	0.3665065145708785	3.0418059536636575	0.016636721001181114	`xtol` termination condition is satisfied.	"[1.00000843e-02 3.03667032e+01 9.99313412e-01 1.72447535e-02
 5.76807355e+00 6.07922292e+00 1.53875634e-01 5.39444510e+02
 1.60833197e-02 3.66506515e-01 3.04180595e+00 1.66367210e-02]"	"[9.08075504e+00 2.85299355e+01 1.92933771e-02 3.13120287e-03
 1.29361898e+01 2.94479778e-02 3.46787538e-03 8.78272999e-03
 2.65825508e-01 1.58597456e+00 3.16228021e-01 4.12138525e-03]"
18	True	383.4066038131714	775.5470585513624	0.010000001650123512	30.79865002998095	872.7259298238712	0.017450948659492874	19.851635038301232	1788.7189651336494	0.15286159960982912	50.204143654631295	0.016221935041394103	0.36506556677066465	1.0359454209254024	0.04894864160061069	`xtol` termination condition is satisfied.	"[1.00000017e-02 3.07986500e+01 8.72725930e+02 1.74509487e-02
 1.98516350e+01 1.78871897e+03 1.52861600e-01 5.02041437e+01
 1.62219350e-02 3.65065567e-01 1.03594542e+00 4.89486416e-02]"	"[1.58447074e-02 1.61252308e+00 2.38251139e+03 2.42745670e+01
 5.34759232e+01 2.12423123e-01 1.76704901e-02 2.32702436e-03
 1.53828374e-02 6.39357112e-01 1.04665464e-01 6.64748258e-01]"
3	True	606.9519009590149	775.6643991445515	0.010000732733567516	30.396905720206178	1.0331415077606287	0.01690681798376495	4.062711048155132	1.466204681085413	0.15712369190719225	17.35841733263873	0.016127600210039256	0.36556422834131375	3.107281589581807	0.016493623707807655	`xtol` termination condition is satisfied.	"[1.00007327e-02 3.03969057e+01 1.03314151e+00 1.69068180e-02
 4.06271105e+00 1.46620468e+00 1.57123692e-01 1.73584173e+01
 1.61276002e-02 3.65564228e-01 3.10728159e+00 1.64936237e-02]"	"[2.07300785e+00 3.94411311e+00 2.79116249e+02 4.47539891e+00
 1.07902561e-03 9.55159149e-02 1.70837542e-02 7.62458431e-03
 1.39627686e-02 6.74678388e+00 8.29519611e-03 3.73657523e-05]"
7	True	362.97678303718567	775.7370542191983	0.010000000076330852	30.536271360444943	2.8050743886895995	0.01781605023610595	41.84161929057196	0.3275219451471496	0.15459168550387398	19.53386893003115	0.016100822454398325	0.36517902113067596	1.00373404685831	0.0510143659893296	`xtol` termination condition is satisfied.	"[1.00000001e-02 3.05362714e+01 2.80507439e+00 1.78160502e-02
 4.18416193e+01 3.27521945e-01 1.54591686e-01 1.95338689e+01
 1.61008225e-02 3.65179021e-01 1.00373405e+00 5.10143660e-02]"	"[3.52094428e+00 4.11704574e+00 1.68536605e+03 3.22739933e+01
 2.03375499e-03 6.86349856e-01 9.03745705e-03 1.17777186e+00
 3.51457261e-01 6.13361631e+00 4.53743499e+01 1.37239384e-02]"
16	True	284.78439569473267	775.8615729006342	0.01000163865800849	31.310454449845185	2.7603964411967863	0.018637828366595596	27.90780373705384	0.45706358590738955	0.1491093543145811	10.299621070533556	0.016277483978276476	0.36486410527356855	1.0981230494816876	0.04576254390463446	`xtol` termination condition is satisfied.	"[1.00016387e-02 3.13104544e+01 2.76039644e+00 1.86378284e-02
 2.79078037e+01 4.57063586e-01 1.49109354e-01 1.02996211e+01
 1.62774840e-02 3.64864105e-01 1.09812305e+00 4.57625439e-02]"	"[4.57785898e-01 4.66984175e+00 1.29682633e+02 3.69928491e-02
 1.14201890e+02 5.06150639e+02 6.77815826e-03 1.11066636e+00
 1.03072500e-02 3.34537817e+00 3.98110671e+00 1.18258083e+00]"
