study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
FDAMB102002	all	36.0	NA	species	36.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	all	36.0	NA	sex	36.0	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	all	36.0	NA	healthy	36.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	all	36.0	NA	sex	36.0	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	MAD0	6.0	all	overnight fast	6.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	MAD2.5	6.0	all	overnight fast	6.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	MAD10	6.0	all	overnight fast	6.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	MAD20	6.0	all	overnight fast	6.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	MAD50	6.0	all	overnight fast	6.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
FDAMB102002	MAD100	6.0	all	overnight fast	6.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
