run	success	duration	cost	KI__RTG_E50	KI__RTG_base	KI__RTG_gamma	KI__RTG_max_inhibition	KI__RTG_m_fpg	message	x	x0
33	True	44.765815019607544	224.7922937409846	6.493779238072141e-06	8.000008431987332	1.0003872992430092	0.7067308400163536	1.2533715089157764	`xtol` termination condition is satisfied.	"[6.49377924e-06 8.00000843e+00 1.00038730e+00 7.06730840e-01
 1.25337151e+00]"	"[6.24233537e-03 1.04580260e+01 1.21679214e+00 4.70927545e-01
 1.21239523e+00]"
27	True	37.180060625076294	224.80618773972566	6.571524016186857e-06	8.000538719631662	1.0005184845218644	0.7079623200165797	1.253179888293231	`xtol` termination condition is satisfied.	"[6.57152402e-06 8.00053872e+00 1.00051848e+00 7.07962320e-01
 1.25317989e+00]"	"[5.37599219e-04 9.45521363e+00 1.08099404e+00 2.16596973e-01
 2.60860655e-01]"
49	True	23.575199127197266	224.82380632446777	6.3607865145639725e-06	8.004328179587915	1.0003711253661873	0.7028493171068741	1.2447915856957024	`xtol` termination condition is satisfied.	"[6.36078651e-06 8.00432818e+00 1.00037113e+00 7.02849317e-01
 1.24479159e+00]"	"[1.23137947e-05 8.18596602e+00 1.78089712e+00 9.41909479e-01
 2.97249116e-01]"
60	True	49.80939340591431	224.82613374667716	6.497228551967205e-06	8.000573874871616	1.0006623635153273	0.7079341802031306	1.30903726255266	`xtol` termination condition is satisfied.	"[6.49722855e-06 8.00057387e+00 1.00066236e+00 7.07934180e-01
 1.30903726e+00]"	"[4.22953089e-03 1.25361581e+01 3.44882381e+00 7.66895058e-01
 6.58498678e-01]"
66	True	53.063589334487915	224.8290168331245	6.416753898058682e-06	8.00000003817859	1.0016941263094514	0.7047784207783513	1.2449894532637715	`xtol` termination condition is satisfied.	"[6.41675390e-06 8.00000004e+00 1.00169413e+00 7.04778421e-01
 1.24498945e+00]"	[ 0.06842197 11.15936692  1.01542938  0.40716012  0.20213856]
61	True	57.120441198349	224.9411764020708	6.4968178322926385e-06	8.000000193034229	1.0024943129324853	0.7085698864246572	1.3004293772304647	`xtol` termination condition is satisfied.	"[6.49681783e-06 8.00000019e+00 1.00249431e+00 7.08569886e-01
 1.30042938e+00]"	"[1.53080309e-04 8.16296217e+00 4.30250291e+00 8.80883410e-01
 2.54869996e+00]"
80	True	53.495797634124756	224.946560592557	6.659370933073934e-06	8.000002071770606	1.0018276667630486	0.713295901661611	1.300643143908071	`xtol` termination condition is satisfied.	"[6.65937093e-06 8.00000207e+00 1.00182767e+00 7.13295902e-01
 1.30064314e+00]"	"[4.86026390e-04 8.61932909e+00 4.06922242e+00 9.15706492e-01
 1.98256321e+00]"
67	True	48.48470664024353	224.95560305001865	6.528358263204686e-06	8.000002374234256	1.0037481308570417	0.7083610522941817	1.2969230562686191	`xtol` termination condition is satisfied.	"[6.52835826e-06 8.00000237e+00 1.00374813e+00 7.08361052e-01
 1.29692306e+00]"	"[1.68820059e-03 9.66069661e+00 3.80928556e+00 5.53018915e-01
 1.73094988e+00]"
56	True	74.77542018890381	224.96061661406122	6.256532432978215e-06	8.000000000260453	1.0031079272538428	0.6998354263545555	1.256378888977693	`xtol` termination condition is satisfied.	"[6.25653243e-06 8.00000000e+00 1.00310793e+00 6.99835426e-01
 1.25637889e+00]"	"[1.52379718e-03 1.34969978e+01 2.97345597e+00 2.67868125e-01
 7.99130373e-01]"
6	True	56.73762583732605	224.9828780824128	6.590749553204655e-06	8.000000000000002	1.003461857541294	0.7098245919751807	1.2922165536466015	`xtol` termination condition is satisfied.	"[6.59074955e-06 8.00000000e+00 1.00346186e+00 7.09824592e-01
 1.29221655e+00]"	[ 0.05683113 11.46285199  2.00064321  0.58793517  0.25977815]
