study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	raw
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	3.5	hr	NA	1.07733595440112	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	8.0	hr	NA	2.183580744788	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	12.0	hr	NA	2.14310837440797	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	16.0	hr	NA	2.10456325976036	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	20.0	hr	NA	2.06409088938033	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	24.0	hr	NA	0.884610381162986	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	28.0	hr	NA	0.844138010782955	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	32.0	hr	NA	1.95038280116983	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	36.0	hr	NA	0.768975037220116	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	40.0	hr	NA	1.87521982760694	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	44.0	hr	NA	0.693812063657219	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	48.0	hr	NA	0.653339693277189	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	60.0	hr	NA	1.68442151010123	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	72.0	hr	NA	1.56878616615836	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	84.0	hr	NA	1.45700533368022	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	96.0	hr	NA	1.34715175693446	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	108.0	hr	NA	1.22958915725922	NA	NA	NA	g	time adjusted	NA
Komoroski2009	NA	SAD_DAP0	5.0	DAP0	cumulative amount	glucose	urine	LC/MS	glucose_cumulative amount_DAP0	120.0	hr	NA	1.11395381331635	NA	NA	NA	g	time adjusted	NA
