study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kasichayanula2012	all	54.0	NA	species	54.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2012	all	54.0	NA	fasting	54.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2012	all	54.0	NA	healthy	54.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2012	all	54.0	NA	age	54.0	NA	NA	NA	NA	NA	NA	18.0	45.0	yr	NA
Kasichayanula2012	all	54.0	NA	bmi	54.0	NA	NA	NA	NA	NA	NA	18.0	32.0	kg/m^2	NA
Kasichayanula2012	all	54.0	NA	sex	54.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2012	S1	24.0	all	sex	23.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2012	S1	24.0	all	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2012	S2	30.0	all	sex	30.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
