study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kasichayanula2011b	all	14.0	NA	species	14.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011b	all	14.0	NA	healthy	14.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011b	all	14.0	NA	sex	14.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011b	all	14.0	NA	age	14.0	NA	NA	NA	NA	NA	NA	18.0	45.0	yr	NA
Kasichayanula2011b	all	14.0	NA	bmi	14.0	NA	NA	NA	NA	NA	NA	18.0	32.0	kg/m^2	NA
Kasichayanula2011b	all	14.0	NA	overnight fast	14.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011b	fasted	14.0	all	fasting	14.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011b	fed	14.0	all	fasting	14.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
