study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Jang2020	all	40.0	NA	species	40.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Jang2020	all	40.0	NA	healthy	40.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Jang2020	all	40.0	NA	sex	40.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Jang2020	all	40.0	NA	overnight fast	40.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Jang2020	all	40.0	NA	age	40.0	NA	NA	NA	NA	NA	NA	19.0	NA	yr	NA
Jang2020	all	40.0	NA	bmi	40.0	NA	NA	NA	NA	NA	NA	17.5	30.5	kg/m^2	NA
Jang2020	P1	20.0	all	age	20.0	NA	NA	23.65	NA	1.93	NA	NA	NA	yr	NA
Jang2020	P1	20.0	all	height	20.0	NA	NA	176.1	NA	5.18	NA	NA	NA	cm	NA
Jang2020	P1	20.0	all	weight	20.0	NA	NA	71.45	NA	10.19	NA	NA	NA	kg	NA
Jang2020	P1	20.0	all	bmi	20.0	NA	NA	22.95	NA	2.63	NA	NA	NA	kg/m^2	NA
Jang2020	P2	20.0	all	age	20.0	NA	NA	24.75	NA	2.92	NA	NA	NA	yr	NA
Jang2020	P2	20.0	all	height	20.0	NA	NA	174.76	NA	5.57	NA	NA	NA	cm	NA
Jang2020	P2	20.0	all	weight	20.0	NA	NA	71.09	NA	10.83	NA	NA	NA	kg	NA
Jang2020	P2	20.0	all	bmi	20.0	NA	NA	23.17	NA	2.73	NA	NA	NA	kg/m^2	NA
